entity,main-dev,added,total-added,ownership
.babelrc,Sebastian McKenzie,25,44,0.57
.circleci/config.yml,Andrew Clark,505,715,0.71
.codesandbox/ci.json,Ives van Hoorne,10,10,1.0
.editorconfig,Paul O’Shannessy,14,21,0.67
.eslintignore,Brian Vaughn,29,100,0.29
.eslintignore => extension/.eslintignore,Brian Vaughn,0,0,0.0
.eslintrc,Benjamin Woodruff,63,173,0.36
.eslintrc => extension/.eslintrc,Brian Vaughn,0,0,0.0
.eslintrc.js,Paul O’Shannessy,75,234,0.32
.flowconfig,Sebastian Markbåge,40,128,0.31
.flowconfig => extension/.flowconfig,Brian Vaughn,0,0,0.0
.flowconfig => scripts/flow/config/flowconfig,Dan Abramov,16,16,1.0
.flowcoverage,Brian Vaughn,17,17,1.0
.gitattributes,Paul O’Shannessy,1,1,1.0
.github/ISSUE_TEMPLATE.md,Marshall Bowers,9,21,0.43
.github/ISSUE_TEMPLATE/bug_report.md,Nicolas Gallagher,41,41,1.0
.github/ISSUE_TEMPLATE/config.yml,Ryota Murakami,7,7,1.0
.github/ISSUE_TEMPLATE/documentation.md,Nicolas Gallagher,13,13,1.0
.github/ISSUE_TEMPLATE/question.md,Nicolas Gallagher,36,36,1.0
.github/PULL_REQUEST_TEMPLATE.md,Nicolas Gallagher,27,68,0.4
.github/stale.yml,Nicolas Gallagher,31,31,1.0
.gitignore,Brian Vaughn,57,112,0.51
.gitignore => extension/.gitignore,Brian Vaughn,0,0,0.0
.jshintrc,Paul O’Shannessy,21,21,1.0
.mailmap,Paul O’Shannessy,163,170,0.96
.netlify,Brian Vaughn,1,1,1.0
.nvmrc,Brian Vaughn,1,2,0.5
.prettierignore,Brian Vaughn,21,21,1.0
.prettierignore => extension/.prettierignore,Brian Vaughn,0,0,0.0
.prettierrc,Brian Vaughn,4,4,1.0
.prettierrc => extension/.prettierrc,Brian Vaughn,0,0,0.0
.prettierrc.js,Lucas Azzola,18,22,0.82
.travis.yml,Sophie Alpert,96,282,0.34
.watchmanconfig,Andrew Clark,1,1,1.0
02-displaying-data.zh-TW.md,Jackson Huang,125,125,1.0
02-displaying-data.zh-TW.md => docs/docs/02-displaying-data.zh-TW.md,Keyan Zhang,0,0,0.0
AUTHORS,Paul O’Shannessy,713,1151,0.62
CHANGELOG.md,Paul O’Shannessy,954,2343,0.41
CHANGELOG.md => extension/CHANGELOG.md,Brian Vaughn,0,0,0.0
CODE_OF_CONDUCT.md,Paul O’Shannessy,74,78,0.95
CONTRIBUTING.md,Paul O’Shannessy,75,129,0.58
Gruntfile.js,Paul O’Shannessy,298,719,0.41
LICENSE,Paul O’Shannessy,226,267,0.85
LICENSE-docs,Paul O’Shannessy,393,393,1.0
LICENSE-examples,Paul O’Shannessy,9,9,1.0
OVERVIEW.md,Brian Vaughn,670,717,0.93
OVERVIEW.md => extension/OVERVIEW.md,Brian Vaughn,0,0,0.0
PATENTS,Paul O’Shannessy,51,51,1.0
README.md,Paul O’Shannessy,214,436,0.49
README.md => extension/README.md,Brian Vaughn,0,0,0.0
React/$.js,Paul O’Shannessy,0,0,0.0
React/AbstractEvent.js,Paul O’Shannessy,0,0,0.0
React/AnalyticsEventPluginFactory.js,Paul O’Shannessy,0,0,0.0
React/BrowserEnv.js,Paul O’Shannessy,0,0,0.0
React/CSSProperty.js,Paul O’Shannessy,0,0,0.0
React/CSSPropertyOperations.js,Paul O’Shannessy,0,0,0.0
React/CallbackRegistry.js,Paul O’Shannessy,0,0,0.0
React/DOMChildrenOperations.js,Paul O’Shannessy,0,0,0.0
React/DOMProperty.js,Paul O’Shannessy,0,0,0.0
React/DOMPropertyOperations.js,Paul O’Shannessy,0,0,0.0
React/Danger.js,Paul O’Shannessy,0,0,0.0
React/DefaultEventPluginOrder.js,Paul O’Shannessy,0,0,0.0
React/EnterLeaveEventPlugin.js,Paul O’Shannessy,0,0,0.0
React/EventConstants.js,Paul O’Shannessy,0,0,0.0
React/EventListener.js,Paul O’Shannessy,0,0,0.0
